ENGLISH,SPANISH
be,ser
have,tener
do,hacer
say,decir
get,conseguir
make,hacer
go,ir
know,saber
take,llevar
see,ver
come,venir
think,pensar
look,mirar
want,desear
give,dar
use,usar
find,encontrar
tell,decir
ask,preguntar
work,trabajar
seem,parecer
feel,sentir
try,intentar
leave,dejar
call,llamar
need,necesidad
become,convertirse
put,poner
mean,significar
keep,mantener
let,dejar
begin,comenzar
help,ayuda
talk,hablar
turn,doblar
start,comenzar
show,espectáculo
hear,escuchar
play,jugar
run,correr
move,mover
like,como
live,vivir
believe,creer
hold,sostener
bring,traer
happen,suceder
write,escribir
sit,sentarse
stand,pararse
lose,perder
pay,pagar
meet,encontrarse
include,incluir
continue,continuar
set,colocar
learn,aprender
change,cambiar
lead,dirigir
understand,entender
watch,mirar
follow,seguir
stop,detener
create,crear
speak,hablar
read,leer
spend,gastar
grow,crecer
open,abierto
walk,caminar
win,ganar
offer,oferta
remember,recordar
love,amar
consider,considerar
buy,comprar
wait,esperar
serve,atender
die,morir
send,enviar
expect,esperar
build,construir
stay,permanecer
fall,caer
cut,cortar
reach,alcanzar
kill,matar
remain,permanecer
suggest,sugerir
raise,aumentar
pass,aprobar
sell,vender
require,requerir
report,informe
decide,decidir
pull,jalar
return,devolver
explain,explicar
hope,esperanza
develop,desarrollar
carry,llevar
break,romper
receive,recibir
agree,aceptar
support,apoyo
hit,golpear
produce,producir
eat,comer
cover,cubrir
catch,atrapar
draw,dibujar
choose,elegir
cause,causa
point,punto
listen,escuchar
answer,respuesta
finish,finalizar
sell,vender
buy,comprar
increase,aumentar
reach,alcanzar
save,ahorrar
improve,mejorar
join,unirse
require,requerir
fill,llenar
plan,plan
support,apoyo
reduce,reducir
share,compartir
wear,tener puesto
design,diseño
build,construir
try,intentar
spend,gastar
solve,resolver
remember,recordar
encourage,alentar
contain,contener
hold,sostener
drop,gota
compare,comparar
learn,aprender
represent,representar
accept,aceptar
deal,trato
fail,fallar
achieve,lograr
focus,enfocar
enter,ingresar
